title,url
"Unisma Perluas Kolaborasi Global, Jajaki Riset Bersama dan Mobilitas Akademik dengan King's College London",https://malangtimes.com/baca/3331345440/20260615/035900/unisma-perluas-kolaborasi-global-jajaki-riset-bersama-dan-mobilitas-akademik-dengan-kings-college-london
"Dugaan Jual Buku LKS Sekolah Dasar di Lamongan, Wali Murid: Sekolah Gratis itu Bohong",https://malangtimes.com/baca/3331345421/20260615/114000/dugaan-jual-buku-lks-sekolah-dasar-di-lamongan-wali-murid-sekolah-gratis-itu-bohong
"ORSC Malaysia Dalami Strategi Menembus Scopus di UIN Maliki Malang, Tata Kelola Jurnal Jadi Sorotan",https://malangtimes.com/baca/3331345398/20260614/060000/orsc-malaysia-dalami-strategi-menembus-scopus-di-uin-maliki-malang-tata-kelola-jurnal-jadi-sorotan
"Dihadiri Juri Internasional, Olimpiade dan English Story Telling Gelaran Polres Situbondo Diikuti Ratusan Pelajar",https://malangtimes.com/baca/3331345377/20260614/120200/dihadiri-juri-internasional-olimpiade-dan-english-story-telling-gelaran-polres-situbondo-diikuti-ratusan-pelajar
"Kampus di Malang Ubah Mindset Warga, Tutup Botol Disulap Bernilai Ekonomi Tinggi dan Kurangi Sampah Plastik",https://malangtimes.com/baca/3331345371/20260614/110100/kampus-di-malang-ubah-mindset-warga-tutup-botol-disulap-bernilai-ekonomi-tinggi-dan-kurangi-sampah-plastik
"Unisma Gandeng Kampus dan Industri Belanda, Bangun Ekosistem Riset untuk Sustainable Green Campus",https://malangtimes.com/baca/3331345354/20260613/060500/unisma-gandeng-kampus-dan-industri-belanda-bangun-ekosistem-riset-untuk-sustainable-green-campus
"SPMB SMP Surabaya 2026 Tahap Validasi Data, Dispendik Sebut Proses Seleksi Transparan",https://malangtimes.com/baca/3331345349/20260613/053500/spmb-smp-surabaya-2026-tahap-validasi-data-dispendik-sebut-proses-seleksi-transparan
"Beasiswa Bawaslu 2026 Dibuka, PNS Berkesempatan Kuliah Gratis S1 hingga S3 di Universitas Indonesia",https://malangtimes.com/baca/3331345346/20260613/051600/beasiswa-bawaslu-2026-dibuka-pns-berkesempatan-kuliah-gratis-s1-hingga-s3-di-universitas-indonesia
"Prosesi Kelulusan Bertabur Prestasi, Wali Kota Nurochman Tekankan Karakter Unggul Lulusan MAN Kota Batu",https://malangtimes.com/baca/3331345341/20260613/042800/prosesi-kelulusan-bertabur-prestasi-wali-kota-nurochman-tekankan-karakter-unggul-lulusan-man-kota-batu
"8 Fakultas Unair dengan Gaji Alumni Tertinggi, Teknologi hingga Hukum Punya Prospek Menjanjikan",https://malangtimes.com/baca/3331345334/20260613/015900/8-fakultas-unair-dengan-gaji-alumni-tertinggi-teknologi-hingga-hukum-punya-prospek-menjanjikan
"Ma'had Nawaina MTsN 2 Kota Malang Wisuda 31 Santri, Peminat Baru Melonjak hingga 73 Siswa",https://malangtimes.com/baca/3331345330/20260613/014600/mahad-nawaina-mtsn-2-kota-malang-wisuda-31-santri-peminat-baru-melonjak-hingga-73-siswa
"Proyek Tak Berizin di Pesisir Pecaron Diduga Rusak Mangrove, DPRD Situbondo Minta Proyek Dihentikan",https://malangtimes.com/baca/3331345446/20260615/041300/proyek-tak-berizin-di-pesisir-pecaron-diduga-rusak-mangrove-dprd-situbondo-minta-proyek-dihentikan
"9 Mitos Malam 1 Suro yang Masih Dipercaya Masyarakat Jawa, Benarkah Membawa Kesialan?",https://malangtimes.com/baca/3331345442/20260615/040300/9-mitos-malam-1-suro-yang-masih-dipercaya-masyarakat-jawa-benarkah-membawa-kesialan
Podcast NGODE DPRD Jatim: Benjamin Kupas Potensi dan PR Besar SMK,https://malangtimes.com/baca/3331345424/20260615/121000/podcast-ngode-dprd-jatim-benjamin-kupas-potensi-dan-pr-besar-smk
"Surabaya Bergerak! Demo Besar di Grahadi Hari Ini Tuntut Hentikan MBG, Cabut UU Polri, UU TNI dan Turunkan Harga BBM",https://malangtimes.com/baca/3331345418/20260615/101500/surabaya-bergerak-demo-besar-di-grahadi-hari-ini-tuntut-hentikan-mbg-cabut-uu-polri-uu-tni-dan-turunkan-harga-bbm
"Naik Puncak Candi Dadi, PNS di Tulungagung Pulang Tinggal Nama",https://malangtimes.com/baca/3331345410/20260614/074700/naik-puncak-candi-dadi-pns-di-tulungagung-pulang-tinggal-nama
Pelecehan Seksual Oknum Pengasuh Ponpes Terhadap Santriwati Diduga Berlangsung Puluhan Tahun,https://malangtimes.com/baca/3331345390/20260614/033100/pelecehan-seksual-oknum-pengasuh-ponpes-terhadap-santriwati-diduga-berlangsung-puluhan-tahun
"Yakuza Maneges Segel 3 Ponpes Usai Pengasuh Diduga Lecehkan Santriwati di Malang, Sempat Hendak Dibakar Warga",https://malangtimes.com/baca/3331345382/20260614/123500/yakuza-maneges-segel-3-ponpes-usai-pengasuh-diduga-lecehkan-santriwati-di-malang-sempat-hendak-dibakar-warga
